1167599;72.53765;349047
1167599;67.7696;248408
1167599;72.7156;382295
1167599;71.11205;433985
1167599;75.08235;962726
1167599;69.0176;1462050
1167599;67.25695;1343755
1167599;67.98505;1114740
1167599;72.5236;475293
1167599;66.70545;313021
1167599;69.51735;795421
1167599;68.8636;120891
1167599;68.8135;1078912
1167599;66.09515;859163
1167599;65.94285;970416
1167599;64.91045;1477724
1167599;64.62495;1000774
1167599;64.62495;100405
1167599;64.18775;1255955
1167599;63.73445;1099212
1477715;70.35065;1000774
1477715;69.76145;433985
1477715;68.2229;349047
1477715;69.5291;92890
1477715;68.49435;120338
1477715;66.56275;388795
1477715;66.0551;382295
1477715;66.6726;100405
1477715;63.2571;1294712
1477715;62.50875;1255955
1477715;62.9561;489270
1477715;66.27325;1078912
1477715;62.8654;146316
1477715;62.37805;1532003
1477715;61.83555;276919
1477715;61.66475;1013752
